pair_id,small_recipe_id,large_recipe_id,group_type,cooking_method,ingredient_name,role,derived_category,N,base,Y,unit,ratio,log_ratio,log_N,composite_score
A2300_LS_A0424,A2300,LS_A0424,비가열,절이기(담그기),생강,seasoning,,100,0.5,40.0,g,0.8,-0.2231435513142097,4.605170185988092,0.8082
A2076_LS_A0397,A2076,LS_A0397,비가열,무치기,마늘,seasoning,,100,1.0,100.0,g,1.0,0.0,4.605170185988092,0.8082
A2076_LS_A0397,A2076,LS_A0397,비가열,무치기,설탕,seasoning,,100,1.0,150.0,g,1.5,0.4054651081081644,4.605170185988092,0.8082
A2076_LS_A0397,A2076,LS_A0397,비가열,무치기,식초,seasoning,,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.8082
A2076_LS_A0397,A2076,LS_A0397,비가열,무치기,고춧가루,sub,,100,1.0,100.0,g,1.0,0.0,4.605170185988092,0.8082
A2037_LS_A0430,A2037,LS_A0430,습열,조리기(졸이기),간장,seasoning,,100,3.0,300.0,g,1.0,0.0,4.605170185988092,0.8052
A2037_LS_A0430,A2037,LS_A0430,습열,조리기(졸이기),마늘,seasoning,,100,1.0,100.0,g,1.0,0.0,4.605170185988092,0.8052
A2037_LS_A0430,A2037,LS_A0430,습열,조리기(졸이기),물엿,seasoning,,100,2.0,80.0,g,0.4,-0.916290731874155,4.605170185988092,0.8052
A2037_LS_A0430,A2037,LS_A0430,습열,조리기(졸이기),설탕,seasoning,,100,1.0,150.0,g,1.5,0.4054651081081644,4.605170185988092,0.8052
A2037_LS_A0430,A2037,LS_A0430,습열,조리기(졸이기),연근,main,,100,35.0,2000.0,g,0.5714285714285714,-0.5596157879354228,4.605170185988092,0.8052
A2037_LS_A0430,A2037,LS_A0430,습열,조리기(졸이기),참기름,seasoning,oil_fat,100,1.0,50.0,g,0.5,-0.6931471805599453,4.605170185988092,0.8052
A1322_LS_A0459,A1322,LS_A0459,건열,굽기,식용유,sub,oil_fat,100,10.0,500.0,g,0.5,-0.6931471805599453,4.605170185988092,0.8025
A1322_LS_A0459,A1322,LS_A0459,건열,굽기,달걀,sub,,100,20.0,1000.0,g,0.5,-0.6931471805599453,4.605170185988092,0.8025
A1322_LS_A0459,A1322,LS_A0459,건열,굽기,굴,main,,100,30.0,7000.0,g,2.3333333333333335,0.8472978603872037,4.605170185988092,0.8025
A2219_LS_A0177,A2219,LS_A0177,비가열,무치기,상추,sub,,100,15.0,4000.0,g,2.6666666666666665,0.9808292530117262,4.605170185988092,0.8009
A2219_LS_A0177,A2219,LS_A0177,비가열,무치기,참치,main,,100,50.0,5000.0,g,1.0,0.0,4.605170185988092,0.8009
A2219_LS_A0177,A2219,LS_A0177,비가열,무치기,당근,sub,,100,5.0,1000.0,g,2.0,0.6931471805599453,4.605170185988092,0.8009
A2219_LS_A0177,A2219,LS_A0177,비가열,무치기,쌀,main,,100,90.0,10000.0,g,1.1111111111111112,0.10536051565782635,4.605170185988092,0.8009
A1545_LS_A0283,A1545,LS_A0283,습열,끓이기(삶기),두부,sub,,100,20.0,3000.0,g,1.5,0.4054651081081644,4.605170185988092,0.8005
A1545_LS_A0283,A1545,LS_A0283,습열,끓이기(삶기),무,sub,,100,20.0,5000.0,g,2.5,0.9162907318741551,4.605170185988092,0.8005
A1545_LS_A0283,A1545,LS_A0283,습열,끓이기(삶기),마늘,seasoning,,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.8005
A1545_LS_A0283,A1545,LS_A0283,습열,끓이기(삶기),대파,sub,,100,5.0,1000.0,g,2.0,0.6931471805599453,4.605170185988092,0.8005
A1847_LS_A0540,A1847,LS_A0540,습열,졸이기(조리기),삼치,main,,100,70.0,20000.0,g,2.857142857142857,1.0498221244986776,4.605170185988092,0.8
A1350_LS_A0117,A1350,LS_A0117,비가열,무치기,참기름,seasoning,oil_fat,100,1.0,50.0,g,0.5,-0.6931471805599453,4.605170185988092,0.8
A1350_LS_A0117,A1350,LS_A0117,비가열,무치기,멸치액젓,seasoning,,100,2.0,200.0,g,1.0,0.0,4.605170185988092,0.8
A1350_LS_A0117,A1350,LS_A0117,비가열,무치기,깻잎,main,,100,30.0,1000.0,g,0.3333333333333333,-1.0986122886681098,4.605170185988092,0.8
A1350_LS_A0117,A1350,LS_A0117,비가열,무치기,고춧가루,seasoning,,100,2.0,100.0,g,0.5,-0.6931471805599453,4.605170185988092,0.8
A1350_LS_A0117,A1350,LS_A0117,비가열,무치기,간장,seasoning,,100,5.0,1000.0,g,2.0,0.6931471805599453,4.605170185988092,0.8
A1350_LS_A0117,A1350,LS_A0117,비가열,무치기,당근,sub,,100,3.0,200.0,g,0.6666666666666666,-0.40546510810816444,4.605170185988092,0.8
A2092_LS_A0297,A2092,LS_A0297,건열,볶기,마늘,seasoning,,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.7961
A2092_LS_A0297,A2092,LS_A0297,건열,볶기,참기름,seasoning,oil_fat,100,1.0,150.0,g,1.5,0.4054651081081644,4.605170185988092,0.7961
A2092_LS_A0297,A2092,LS_A0297,건열,볶기,당근,sub,,100,5.0,1000.0,g,2.0,0.6931471805599453,4.605170185988092,0.7961
A2092_LS_A0297,A2092,LS_A0297,건열,볶기,대파,sub,,100,5.0,500.0,g,1.0,0.0,4.605170185988092,0.7961
A2092_LS_A0297,A2092,LS_A0297,건열,볶기,고춧가루,seasoning,,100,2.0,400.0,g,2.0,0.6931471805599453,4.605170185988092,0.7961
A2092_LS_A0297,A2092,LS_A0297,건열,볶기,참깨,seasoning,,100,0.3,30.0,g,1.0,0.0,4.605170185988092,0.7961
A2092_LS_A0297,A2092,LS_A0297,건열,볶기,고추장,seasoning,,100,1.0,300.0,g,3.0,1.0986122886681098,4.605170185988092,0.7961
A2092_LS_A0297,A2092,LS_A0297,건열,볶기,오징어,main,,100,60.0,10000.0,g,1.6666666666666667,0.5108256237659907,4.605170185988092,0.7961
A2092_LS_A0297,A2092,LS_A0297,건열,볶기,설탕,seasoning,,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.7961
A2092_LS_A0297,A2092,LS_A0297,건열,볶기,양배추,sub,,100,40.0,4000.0,g,1.0,0.0,4.605170185988092,0.7961
A2092_LS_A0297,A2092,LS_A0297,건열,볶기,물엿,seasoning,,100,1.0,300.0,g,3.0,1.0986122886681098,4.605170185988092,0.7961
A2092_LS_A0297,A2092,LS_A0297,건열,볶기,양파,sub,,100,10.0,2000.0,g,2.0,0.6931471805599453,4.605170185988092,0.7961
A2266_LS_A0238,A2266,LS_A0238,습열,끓이기(삶기),고춧가루,seasoning,,100,5.0,200.0,g,0.4,-0.916290731874155,4.605170185988092,0.7935
A2266_LS_A0238,A2266,LS_A0238,습열,끓이기(삶기),김치,main,,100,40.0,4000.0,g,1.0,0.0,4.605170185988092,0.7935
A2266_LS_A0238,A2266,LS_A0238,습열,끓이기(삶기),콩나물,main,water_base,100,30.0,3000.0,g,1.0,0.0,4.605170185988092,0.7935
A2266_LS_A0238,A2266,LS_A0238,습열,끓이기(삶기),마늘,seasoning,,100,5.0,300.0,g,0.6,-0.5108256237659907,4.605170185988092,0.7935
A2129_LS_A0549,A2129,LS_A0549,습열,졸이기(조리기),우엉,main,,100,20.0,6000.0,g,3.0,1.0986122886681098,4.605170185988092,0.7928
A1468_LS_A0138,A1468,LS_A0138,비가열,무치기,고춧가루,seasoning,,80,1.0,200.0,g,2.5,0.9162907318741551,4.382026634673881,0.7879
A0304_LS_A0079,A0304,LS_A0079,습열,끓이기,콩나물,sub,water_base,100,25.0,1500.0,g,0.6,-0.5108256237659907,4.605170185988092,0.7867
A0304_LS_A0079,A0304,LS_A0079,습열,끓이기,미나리,sub,,100,15.0,1000.0,g,0.6666666666666666,-0.40546510810816444,4.605170185988092,0.7867
A0304_LS_A0079,A0304,LS_A0079,습열,끓이기,대구,main,,100,150.0,7000.0,g,0.4666666666666667,-0.7621400520468967,4.605170185988092,0.7867
A0304_LS_A0079,A0304,LS_A0079,습열,끓이기,다시마,sub,,100,1.0,100.0,g,1.0,0.0,4.605170185988092,0.7867
A0304_LS_A0079,A0304,LS_A0079,습열,끓이기,마늘,seasoning,,100,10.0,200.0,g,0.2,-1.6094379124341003,4.605170185988092,0.7867
A0304_LS_A0079,A0304,LS_A0079,습열,끓이기,무,sub,,100,30.0,1500.0,g,0.5,-0.6931471805599453,4.605170185988092,0.7867
A0304_LS_A0079,A0304,LS_A0079,습열,끓이기,물,sub,water_base,100,500.0,30000.0,g,0.6,-0.5108256237659907,4.605170185988092,0.7867
A0304_LS_A0079,A0304,LS_A0079,습열,끓이기,홍고추,sub,,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.7867
A1437_LS_A0292,A1437,LS_A0292,건열,볶기,닭고기,main,,100,60.0,10000.0,g,1.6666666666666667,0.5108256237659907,4.605170185988092,0.7818
A1437_LS_A0292,A1437,LS_A0292,건열,볶기,대파,sub,,100,5.0,1000.0,g,2.0,0.6931471805599453,4.605170185988092,0.7818
A1437_LS_A0292,A1437,LS_A0292,건열,볶기,떡볶이떡,sub,,100,20.0,2000.0,g,1.0,0.0,4.605170185988092,0.7818
A1437_LS_A0292,A1437,LS_A0292,건열,볶기,참깨,seasoning,,100,1.0,30.0,g,0.3,-1.2039728043259361,4.605170185988092,0.7818
A1449_LS_A0433,A1449,LS_A0433,건열,튀기기,닭고기,main,,100,100.0,15000.0,g,1.5,0.4054651081081644,4.605170185988092,0.7811
A1449_LS_A0433,A1449,LS_A0433,건열,튀기기,생강,seasoning,,100,0.5,30.0,g,0.6,-0.5108256237659907,4.605170185988092,0.7811
A1449_LS_A0433,A1449,LS_A0433,건열,튀기기,튀김가루,sub,,100,20.0,2000.0,g,1.0,0.0,4.605170185988092,0.7811
A1542_LS_A0255,A1542,LS_A0255,습열,끓이기(삶기),고춧가루,seasoning,,100,1.0,30.0,g,0.3,-1.2039728043259361,4.605170185988092,0.7792
A1542_LS_A0255,A1542,LS_A0255,습열,끓이기(삶기),대파,sub,,100,5.0,100.0,g,0.2,-1.6094379124341003,4.605170185988092,0.7792
A1542_LS_A0255,A1542,LS_A0255,습열,끓이기(삶기),두부,sub,,100,15.0,2000.0,g,1.3333333333333333,0.28768207245178085,4.605170185988092,0.7792
A1542_LS_A0255,A1542,LS_A0255,습열,끓이기(삶기),마늘,seasoning,,100,1.0,300.0,g,3.0,1.0986122886681098,4.605170185988092,0.7792
A1542_LS_A0255,A1542,LS_A0255,습열,끓이기(삶기),무,sub,,100,15.0,3000.0,g,2.0,0.6931471805599453,4.605170185988092,0.7792
A1790_LS_A0304,A1790,LS_A0304,건열,볶기,간장,seasoning,,100,5.0,1200.0,g,2.4,0.8754687373538999,4.605170185988092,0.7744
A1790_LS_A0304,A1790,LS_A0304,건열,볶기,참기름,seasoning,oil_fat,100,1.0,100.0,g,1.0,0.0,4.605170185988092,0.7744
A1790_LS_A0304,A1790,LS_A0304,건열,볶기,마늘,seasoning,,100,1.0,300.0,g,3.0,1.0986122886681098,4.605170185988092,0.7744
A1790_LS_A0304,A1790,LS_A0304,건열,볶기,부추,sub,,100,20.0,3000.0,g,1.5,0.4054651081081644,4.605170185988092,0.7744
A1790_LS_A0304,A1790,LS_A0304,건열,볶기,양파,sub,,100,10.0,2200.0,g,2.2,0.7884573603642703,4.605170185988092,0.7744
A1790_LS_A0304,A1790,LS_A0304,건열,볶기,당면,sub,,100,20.0,2500.0,g,1.25,0.22314355131420976,4.605170185988092,0.7744
A1790_LS_A0304,A1790,LS_A0304,건열,볶기,돼지고기,main,,100,20.0,2000.0,g,1.0,0.0,4.605170185988092,0.7744
A0103_LS_A0441,A0103,LS_A0441,건열,튀기기,달걀,sub,,100,50.0,3000.0,g,0.6,-0.5108256237659907,4.605170185988092,0.7697
A0103_LS_A0441,A0103,LS_A0441,건열,튀기기,당근,sub,,100,20.0,1100.0,g,0.55,-0.5978370007556204,4.605170185988092,0.7697
A0103_LS_A0441,A0103,LS_A0441,건열,튀기기,밀가루,sub,,100,20.0,1000.0,g,0.5,-0.6931471805599453,4.605170185988092,0.7697
A0103_LS_A0441,A0103,LS_A0441,건열,튀기기,빵가루,sub,,100,50.0,1500.0,g,0.3,-1.2039728043259361,4.605170185988092,0.7697
A0103_LS_A0441,A0103,LS_A0441,건열,튀기기,소금,seasoning,,100,0.5,100.0,g,2.0,0.6931471805599453,4.605170185988092,0.7697
A0103_LS_A0441,A0103,LS_A0441,건열,튀기기,양파,sub,,100,20.0,2200.0,g,1.1,0.09531017980432493,4.605170185988092,0.7697
A1459_LS_A0433,A1459,LS_A0433,건열,튀기기,밀가루,sub,,100,20.0,1000.0,g,0.5,-0.6931471805599453,4.605170185988092,0.7674
A1229_LS_A0301,A1229,LS_A0301,건열,볶기,식용유,seasoning,oil_fat,100,1.0,300.0,g,3.0,1.0986122886681098,4.605170185988092,0.7661
A1229_LS_A0301,A1229,LS_A0301,건열,볶기,설탕,seasoning,,100,1.0,50.0,g,0.5,-0.6931471805599453,4.605170185988092,0.7661
A1229_LS_A0301,A1229,LS_A0301,건열,볶기,감자,main,,100,45.0,10000.0,g,2.2222222222222223,0.7985076962177716,4.605170185988092,0.7661
A1229_LS_A0301,A1229,LS_A0301,건열,볶기,청피망,sub,,100,5.0,500.0,g,1.0,0.0,4.605170185988092,0.7661
A1229_LS_A0301,A1229,LS_A0301,건열,볶기,참깨,seasoning,,100,0.3,30.0,g,1.0,0.0,4.605170185988092,0.7661
A1229_LS_A0301,A1229,LS_A0301,건열,볶기,양파,sub,,100,10.0,1000.0,g,1.0,0.0,4.605170185988092,0.7661
A1518_LS_A0408,A1518,LS_A0408,건열,볶기,마늘,seasoning,,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.7659
A1518_LS_A0408,A1518,LS_A0408,건열,볶기,간장,seasoning,,100,5.0,700.0,g,1.4,0.3364722366212129,4.605170185988092,0.7659
A1518_LS_A0408,A1518,LS_A0408,건열,볶기,설탕,seasoning,,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.7659
A1518_LS_A0408,A1518,LS_A0408,건열,볶기,참기름,seasoning,oil_fat,100,1.0,50.0,g,0.5,-0.6931471805599453,4.605170185988092,0.7659
A1518_LS_A0408,A1518,LS_A0408,건열,볶기,참깨,seasoning,,100,0.3,20.0,g,0.6666666666666666,-0.40546510810816444,4.605170185988092,0.7659
A1518_LS_A0408,A1518,LS_A0408,건열,볶기,후추,sub,,100,0.01,3.0,g,3.0,1.0986122886681098,4.605170185988092,0.7659
A1817_LS_A0186,A1817,LS_A0186,건열,볶기,식초,seasoning,,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.7651
A1817_LS_A0186,A1817,LS_A0186,건열,볶기,고춧가루,seasoning,,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.7651
A1817_LS_A0186,A1817,LS_A0186,건열,볶기,달걀,sub,,100,50.0,6000.0,g,1.2,0.1823215567939546,4.605170185988092,0.7651
A1817_LS_A0186,A1817,LS_A0186,건열,볶기,당근,sub,,100,20.0,1000.0,g,0.5,-0.6931471805599453,4.605170185988092,0.7651
A1817_LS_A0186,A1817,LS_A0186,건열,볶기,참기름,seasoning,oil_fat,100,4.0,100.0,g,0.25,-1.3862943611198906,4.605170185988092,0.7651
A1817_LS_A0186,A1817,LS_A0186,건열,볶기,콩나물,sub,water_base,100,50.0,4000.0,g,0.8,-0.2231435513142097,4.605170185988092,0.7651
A1817_LS_A0186,A1817,LS_A0186,건열,볶기,무,sub,,100,50.0,2500.0,g,0.5,-0.6931471805599453,4.605170185988092,0.7651
A1817_LS_A0186,A1817,LS_A0186,건열,볶기,쌀,main,,100,90.0,10000.0,g,1.1111111111111112,0.10536051565782635,4.605170185988092,0.7651
A2341_LS_A0429,A2341,LS_A0429,비가열,무치기,식초,seasoning,,100,5.0,400.0,g,0.8,-0.2231435513142097,4.605170185988092,0.7636
A2341_LS_A0429,A2341,LS_A0429,비가열,무치기,마늘,seasoning,,100,3.0,200.0,g,0.6666666666666666,-0.40546510810816444,4.605170185988092,0.7636
A2341_LS_A0429,A2341,LS_A0429,비가열,무치기,설탕,seasoning,,100,5.0,400.0,g,0.8,-0.2231435513142097,4.605170185988092,0.7636
A0687_LS_A0215,A0687,LS_A0215,습열,끓이기,참기름,seasoning,oil_fat,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.7629
A0687_LS_A0215,A0687,LS_A0215,습열,끓이기,미역,main,,100,1.5,400.0,g,2.6666666666666665,0.9808292530117262,4.605170185988092,0.7629
A0687_LS_A0215,A0687,LS_A0215,습열,끓이기,물,sub,water_base,100,300.0,30000.0,g,1.0,0.0,4.605170185988092,0.7629
A0687_LS_A0215,A0687,LS_A0215,습열,끓이기,마늘,seasoning,,100,1.0,100.0,g,1.0,0.0,4.605170185988092,0.7629
A0687_LS_A0215,A0687,LS_A0215,습열,끓이기,간장,seasoning,,100,2.0,200.0,g,1.0,0.0,4.605170185988092,0.7629
A1873_LS_A0437,A1873,LS_A0437,건열,튀기기,달걀,sub,,100,15.0,3600.0,g,2.4,0.8754687373538999,4.605170185988092,0.7555
A1873_LS_A0437,A1873,LS_A0437,건열,튀기기,동태,main,,100,60.0,8000.0,g,1.3333333333333333,0.28768207245178085,4.605170185988092,0.7555
A1873_LS_A0437,A1873,LS_A0437,건열,튀기기,빵가루,sub,,100,15.0,1500.0,g,1.0,0.0,4.605170185988092,0.7555
A1390_LS_A0241,A1390,LS_A0241,습열,끓이기(삶기),냉이,main,,100,30.0,2000.0,g,0.6666666666666666,-0.40546510810816444,4.605170185988092,0.753
A1390_LS_A0241,A1390,LS_A0241,습열,끓이기(삶기),멸치,sub,,100,2.0,300.0,g,1.5,0.4054651081081644,4.605170185988092,0.753
A1390_LS_A0241,A1390,LS_A0241,습열,끓이기(삶기),다시마,sub,,100,1.0,300.0,g,3.0,1.0986122886681098,4.605170185988092,0.753
A1390_LS_A0241,A1390,LS_A0241,습열,끓이기(삶기),대파,sub,,100,5.0,200.0,g,0.4,-0.916290731874155,4.605170185988092,0.753
A1390_LS_A0241,A1390,LS_A0241,습열,끓이기(삶기),된장,seasoning,,100,10.0,1500.0,g,1.5,0.4054651081081644,4.605170185988092,0.753
A1390_LS_A0241,A1390,LS_A0241,습열,끓이기(삶기),마늘,seasoning,,100,1.0,100.0,g,1.0,0.0,4.605170185988092,0.753
A1470_LS_A0134,A1470,LS_A0134,비가열,무치기,설탕,seasoning,,120,2.0,200.0,g,0.8333333333333334,-0.1823215567939546,4.787491742782046,0.7528
A1470_LS_A0134,A1470,LS_A0134,비가열,무치기,식초,seasoning,,120,1.0,100.0,g,0.8333333333333334,-0.1823215567939546,4.787491742782046,0.7528
A1470_LS_A0134,A1470,LS_A0134,비가열,무치기,사과,sub,,120,30.0,2000.0,g,0.5555555555555556,-0.587786664902119,4.787491742782046,0.7528
A1470_LS_A0134,A1470,LS_A0134,비가열,무치기,도라지,main,,120,20.0,6000.0,g,2.5,0.9162907318741551,4.787491742782046,0.7528
A0870_LS_A0436,A0870,LS_A0436,건열,튀기기,달걀,sub,,100,32.5,1000.0,g,0.3076923076923077,-1.1786549963416462,4.605170185988092,0.7486
A0870_LS_A0436,A0870,LS_A0436,건열,튀기기,물,sub,water_base,100,50.0,3500.0,g,0.7,-0.35667494393873245,4.605170185988092,0.7486
A0870_LS_A0436,A0870,LS_A0436,건열,튀기기,밀가루,sub,,100,70.0,1500.0,g,0.21428571428571427,-1.540445040947149,4.605170185988092,0.7486
A1938_LS_A0230,A1938,LS_A0230,습열,끓이기(삶기),시금치,main,,100,70.0,6000.0,g,0.8571428571428571,-0.15415067982725836,4.605170185988092,0.7464
A1798_LS_A0216,A1798,LS_A0216,습열,끓이기,북어,main,,100,15.0,1000.0,g,0.6666666666666666,-0.40546510810816444,4.605170185988092,0.7464
A2147_LS_A0482,A2147,LS_A0482,건열,굽기,식용유,sub,oil_fat,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.7464
A2147_LS_A0482,A2147,LS_A0482,건열,굽기,임연수어,main,,100,60.0,10000.0,g,1.6666666666666667,0.5108256237659907,4.605170185988092,0.7464
A1798_LS_A0216,A1798,LS_A0216,습열,끓이기,마늘,seasoning,,100,5.0,100.0,g,0.2,-1.6094379124341003,4.605170185988092,0.7464
A1680_LS_A0349,A1680,LS_A0349,비가열,무치기,고춧가루,sub,,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.7464
A1680_LS_A0349,A1680,LS_A0349,비가열,무치기,마늘,seasoning,,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.7464
A1798_LS_A0216,A1798,LS_A0216,습열,끓이기,대파,sub,,100,5.0,1000.0,g,2.0,0.6931471805599453,4.605170185988092,0.7464
A1938_LS_A0230,A1938,LS_A0230,습열,끓이기(삶기),된장,seasoning,,100,10.0,900.0,g,0.9,-0.10536051565782628,4.605170185988092,0.7464
A1798_LS_A0216,A1798,LS_A0216,습열,끓이기,달걀,sub,,100,20.0,2000.0,g,1.0,0.0,4.605170185988092,0.7464
A1586_LS_A0519,A1586,LS_A0519,습열,졸이기(조리기),대파,sub,,100,5.0,1000.0,g,2.0,0.6931471805599453,4.605170185988092,0.7443
A1432_LS_A0330,A1432,LS_A0330,비가열,무치기,식초,seasoning,,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.7443
A1432_LS_A0330,A1432,LS_A0330,비가열,무치기,설탕,seasoning,,100,1.0,100.0,g,1.0,0.0,4.605170185988092,0.7443
A1432_LS_A0330,A1432,LS_A0330,비가열,무치기,마늘,seasoning,,100,1.0,300.0,g,3.0,1.0986122886681098,4.605170185988092,0.7443
A1432_LS_A0330,A1432,LS_A0330,비가열,무치기,고춧가루,sub,,100,1.0,100.0,g,1.0,0.0,4.605170185988092,0.7443
A1432_LS_A0330,A1432,LS_A0330,비가열,무치기,고추장,sub,,100,2.0,200.0,g,1.0,0.0,4.605170185988092,0.7443
A2144_LS_A0256,A2144,LS_A0256,습열,끓이기(삶기),고사리,sub,,100,20.0,1000.0,g,0.5,-0.6931471805599453,4.605170185988092,0.7419
A2144_LS_A0256,A2144,LS_A0256,습열,끓이기(삶기),숙주나물,sub,water_base,100,20.0,2000.0,g,1.0,0.0,4.605170185988092,0.7419
A2144_LS_A0256,A2144,LS_A0256,습열,끓이기(삶기),마늘,seasoning,,100,5.0,100.0,g,0.2,-1.6094379124341003,4.605170185988092,0.7419
A2144_LS_A0256,A2144,LS_A0256,습열,끓이기(삶기),대파,sub,,100,10.0,2000.0,g,2.0,0.6931471805599453,4.605170185988092,0.7419
A2144_LS_A0256,A2144,LS_A0256,습열,끓이기(삶기),고춧가루,seasoning,,100,5.0,300.0,g,0.6,-0.5108256237659907,4.605170185988092,0.7419
A1875_LS_A0375,A1875,LS_A0375,습열,튀기기,밀가루,sub,,100,3.0,500.0,g,1.6666666666666667,0.5108256237659907,4.605170185988092,0.7402
A1233_LS_A0301,A1233,LS_A0301,건열,볶기,당근,sub,,100,5.0,500.0,g,1.0,0.0,4.605170185988092,0.74
A1899_LS_A0179,A1899,LS_A0179,습열,끓이기,양파,sub,,100,20.0,3000.0,g,1.5,0.4054651081081644,4.605170185988092,0.7375
